TITLE,COLORS_USED,SUBJECT_MATTER,EPISODE_DATE
Misty Rolling Hills,"Bright_Red, Cadmium_Yellow, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, FOG, GRASS, MOUNTAIN, MOUNTAINS, TREE, TREES",1986-01-02
Lakeside Cabin,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CABIN, CIRCLE_FRAME, CLOUDS, DECIDUOUS, FRAMED, GRASS, LAKE, STRUCTURE, TREE, TREES",1986-01-09
Warm Winter Day,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CABIN, DECIDUOUS, GRASS, SNOW, STRUCTURE, SUN, TREE, TREES, WINTER",1986-01-16
Waterside Way,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, DECIDUOUS, GRASS, LAKE, PATH, ROCKS, TREE, TREES",1986-01-23
Hunter's Haven,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CABIN, CIRRUS, CLOUDS, CONIFER, DECIDUOUS, PATH, RIVER, ROCKS, STRUCTURE, TREE, TREES",1986-01-30
Bubbling Mountain Brook,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, CONIFER, GRASS, MOUNTAIN, MOUNTAINS, RIVER, TREE, TREES",1986-02-06
Winter Hideaway,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CABIN, CONIFER, DECIDUOUS, FENCE, SNOW, STRUCTURE, TREE, TREES, WINTER",1986-02-13
Foot Of The Mountain,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, DECIDUOUS, GRASS, MOUNTAIN, MOUNTAINS, RIVER, SNOWY_MOUNTAIN, TREE, TREES",1986-02-20
Majestic Pine,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, CONIFER, FRAMED, RECTANGULAR_FRAME, TREE, TREES",1986-02-27
Cactus At Sunset,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CACTUS, CLOUDS, PATH, ROCKS",1986-03-06
Mountain Range,"Bright_Red, Cadmium_Yellow, Indian_Yellow, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CONIFER, CUMULUS, DECIDUOUS, GUEST, LAKE, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, STEVE_ROSS, TREE, TREES",1986-03-13
Lonely Retreat,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CABIN, CLOUDS, CONIFER, SNOW, STRUCTURE, TREE, WINTER",1986-03-20
Northern Lights,"Black_Gesso, Bright_Red, Dark_Sienna, Midnight_Black, Phthalo_Blue, Phthalo_Green, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","AURORA_BOREALIS, CABIN, CONIFER, DECIDUOUS, LAKE, MOUNTAIN, NIGHT, SNOW, SNOWY_MOUNTAIN, STRUCTURE, TREE, TREES, WINTER",1986-03-27
Winter Evergreens,"Bright_Red, Dark_Sienna, Midnight_Black, Phthalo_Blue, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CIRRUS, CLOUDS, CONIFER, MOUNTAIN, MOUNTAINS, SNOW, SNOWY_MOUNTAIN, SUN, TREE, TREES, WINTER",1986-04-30
Surf's Up,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Liquid_Clear, Midnight_Black, Phthalo_Blue, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BEACH, CLIFF, CLOUDS, CUMULUS, OCEAN, ROCKS, WAVES",1986-05-07
Red Sunset,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, CONIFER, LAKE, TREE, TREES",1986-05-14
Meadow Road,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, CONIFER, CUMULUS, DECIDUOUS, GRASS, MOUNTAIN, MOUNTAINS, PATH, SNOWY_MOUNTAIN, TREE, TREES",1986-05-21
Winter Oval,"Bright_Red, Dark_Sienna, Midnight_Black, Phthalo_Blue, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","BUSHES, CABIN, CONIFER, FOG, FRAMED, MOUNTAIN, OVAL_FRAME, RIVER, SNOWY_MOUNTAIN, STRUCTURE, TREE, TREES",1986-05-28
Secluded Beach,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Midnight_Black, Phthalo_Blue, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BEACH, CLOUDS, CUMULUS, OCEAN, ROCKS, WAVES",1986-06-04
Forest Hills,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CONIFER, DECIDUOUS, MOUNTAIN, MOUNTAINS, RIVER, ROCKS, SNOWY_MOUNTAIN, TREE, TREES",1986-06-11
Little House By The Road,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CABIN, DECIDUOUS, FENCE, MOUNTAIN, PATH, STRUCTURE, TREE, TREES",1986-06-18
Mountain Path,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, MOUNTAIN, RIVER, SNOWY_MOUNTAIN, TREE, TREES",1986-06-25
Country Charm,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson",,1986-07-02
Nature's Paradise,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, CUMULUS, DECIDUOUS, GRASS, MOUNTAIN, MOUNTAINS, RIVER, TREE, TREES",1986-07-09
Mountain By The Sea,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Liquid_Clear, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BEACH, BUSHES, CLOUDS, CUMULUS, DECIDUOUS, MOUNTAIN, OCEAN, SNOWY_MOUNTAIN, TREE, WAVES",1986-07-16
Mountain Hideaway,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CIRRUS, CLOUDS, CONIFER, DECIDUOUS, GRASS, MOUNTAIN, MOUNTAINS, RIVER, SNOWY_MOUNTAIN, TREE, TREES",1986-07-23
Towering Peaks,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, CONIFER, CUMULUS, DECIDUOUS, HILLS, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, TREE, TREES",1986-09-03
Cabin At Sunset,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CABIN, CLOUDS, CONIFER, FENCE, GRASS, STRUCTURE, TREE, TREES",1986-09-10
Twin Falls,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CONIFER, DECIDUOUS, GRASS, HILLS, RIVER, ROCKS, TREE, TREES, WATERFALL",1986-09-17
Secluded Bridge,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BRIDGE, DECIDUOUS, RIVER, ROCKS, STRUCTURE, TREE, TREES",1986-09-24
Ocean Breeze,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CUMULUS, OCEAN, ROCKS, WAVES",1986-10-01
Autumn Woods,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, CONIFER, CUMULUS, DECIDUOUS, LAKE, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, TREE, TREES",1986-10-08
Winter Solitude,"Bright_Red, Dark_Sienna, Midnight_Black, Phthalo_Blue, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","BUSHES, DECIDUOUS, SNOW, TREE, TREES, WINTER",1986-10-15
Golden Sunset,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, LAKE, SNOW, SUN, TREE, TREES",1986-10-22
Mountain Oval,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre","BUSHES, CIRRUS, CLOUDS, CONIFER, DECIDUOUS, FRAMED, GUEST, LAKE, MOUNTAIN, MOUNTAINS, OVAL_FRAME, SNOWY_MOUNTAIN, STEVE_ROSS, TREE, TREES",1986-10-29
Ocean Sunset,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Clear, Midnight_Black, Phthalo_Blue, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BEACH, CLOUDS, OCEAN, ROCKS, WAVES",1986-11-05
Triple View,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CABIN, CONIFER, DECIDUOUS, FRAMED, GRASS, MOUNTAIN, MOUNTAINS, PATH, SNOWY_MOUNTAIN, STRUCTURE, TREE, TREES, TRIPLE_FRAME",1986-11-12
Winter Frost,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Midnight_Black, Phthalo_Blue, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","CLOUDS, CONIFER, DECIDUOUS, MOUNTAIN, MOUNTAINS, SNOW, SNOWY_MOUNTAIN, SUN, TREE, TREES, WINTER",1986-11-19
Lakeside Cabin,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CABIN, CLOUDS, CUMULUS, DECIDUOUS, GRASS, LAKE, PATH, ROCKS, STRUCTURE, TREE, TREES",1986-11-26
Mountain Stream,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, GRASS, MOUNTAIN, RIVER, SNOWY_MOUNTAIN, TREE, TREES",1986-12-31
Country Cabin,"Bright_Red, Dark_Sienna, Midnight_Black, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","BUSHES, CABIN, CLOUDS, CONIFER, DECIDUOUS, SNOW, STRUCTURE, TREE, TREES, WINTER",1987-01-07
Daisy Delight,"Cadmium_Yellow, Dark_Sienna, Liquid_Clear, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, FENCE, FLOWERS, TREE, TREES",1987-01-14
Hidden Stream,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, DECIDUOUS, RIVER, TREE, TREES, WATERFALL",1987-01-21
Towering Glacier,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CONIFER, CUMULUS, GRASS, MOUNTAIN, RIVER, ROCKS, SNOWY_MOUNTAIN, TREE, TREES, WATERFALL",1987-01-28
Oval Barn,"Bright_Red, Dark_Sienna, Midnight_Black, Prussian_Blue, Titanium_White, Van_Dyke_Brown","BARN, BUSHES, CLOUDS, CUMULUS, DECIDUOUS, FRAMED, OVAL_FRAME, SNOW, STRUCTURE, TREE, TREES, WINTER",1987-02-04
Lakeside Path,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, CONIFER, CUMULUS, DECIDUOUS, GRASS, LAKE, PATH, ROCKS, TREE, TREES",1987-02-11
Sunset Oval,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, CONIFER, CUMULUS, DECIDUOUS, FRAMED, LAKE, MOUNTAIN, OVAL_FRAME, SNOWY_MOUNTAIN, TREE, TREES",1987-02-18
Winter Barn,"Dark_Sienna, Midnight_Black, Phthalo_Blue, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","BARN, CIRRUS, CLOUDS, DECIDUOUS, SNOW, STRUCTURE, TREE, TREES, WINTER",1987-02-25
Sunset Over The Waves,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","BEACH, CLOUDS, OCEAN, ROCKS, SUN, WAVES",1987-03-04
Golden Glow,"Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Clear, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre","CLOUDS, CONIFER, LAKE, SNOW, TREE, TREES, WATERFALL",1987-03-11
Roadside Barn,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BARN, CLOUDS, CUMULUS, DECIDUOUS, FENCE, LAKE, PATH, STRUCTURE, TREE, TREES",1987-03-18
Happy Accident,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, DECIDUOUS, GRASS, RIVER, ROCKS, TREE, TREES",1987-03-25
Golden Knoll,"Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Titanium_White, Van_Dyke_Brown, Yellow_Ochre","CABIN, DECIDUOUS, FOG, GRASS, STRUCTURE, SUN, TREE",1987-04-29
Mountain Reflections,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, CONIFER, CUMULUS, MOUNTAIN, MOUNTAINS, RIVER, ROCKS, SNOWY_MOUNTAIN, TREE, TREES",1987-05-06
Secluded Mountain,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CONIFER, CUMULUS, DECIDUOUS, GRASS, LAKE, MOUNTAIN, ROCKS, TREE, TREES",1987-05-13
Bright Autumn Trees,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Black, Midnight_Black, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, DECIDUOUS, PATH, RIVER, TREE, TREES",1987-05-20
Black Seascape,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Midnight_Black, Phthalo_Blue, Phthalo_Green, Titanium_White, Van_Dyke_Brown","BEACH, CLOUDS, CUMULUS, NIGHT, OCEAN, ROCKS, WAVES",1987-05-27
Steep Mountains,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CABIN, CIRRUS, CLOUDS, CONIFER, DECIDUOUS, GRASS, LAKE, MOUNTAIN, MOUNTAINS, STRUCTURE, TREE, TREES",1987-06-03
Quiet Mountains River,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, CONIFER, CUMULUS, DECIDUOUS, GRASS, MOUNTAIN, RIVER, SNOWY_MOUNTAIN, TREE, TREES",1987-06-10
Evening Waterfall,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre","CONIFER, GRASS, RIVER, TREE, TREES, WATERFALL",1987-06-17
Tropical Seascape,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Clear, Midnight_Black, Phthalo_Blue, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BEACH, CIRRUS, CLOUDS, OCEAN, PALM_TREES, WAVES",1987-06-24
Mountain At Sunset,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Clear, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, CONIFER, DECIDUOUS, GRASS, MOUNTAIN, RIVER, SNOWY_MOUNTAIN, TREE, TREES",1987-07-01
Soft Mountain Glow,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CONIFER, GRASS, MOUNTAIN, RIVER, SNOWY_MOUNTAIN, TREE, TREES",1987-07-08
Mountain In An Oval,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, CONIFER, CUMULUS, DECIDUOUS, FRAMED, GRASS, MOUNTAIN, MOUNTAINS, OVAL_FRAME, RIVER, SUN, TREE, TREES",1987-07-15
Winter Mountain,"Bright_Red, Midnight_Black, Phthalo_Blue, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","CONIFER, MOUNTAIN, MOUNTAINS, RIVER, SNOW, SNOWY_MOUNTAIN, TREE, TREES, WINTER",1987-07-22
Rolling Hills,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, DECIDUOUS, GRASS, HILLS, LAKE, TREE, TREES",1987-09-02
Frozen Solitude,"Dark_Sienna, Midnight_Black, Prussian_Blue, Titanium_White, Van_Dyke_Brown","BUSHES, CABIN, CLOUDS, CONIFER, LAKE, MOUNTAIN, MOUNTAINS, SNOW, SNOWY_MOUNTAIN, STRUCTURE, TREE, TREES, WINTER",1987-09-09
Meadow Brook,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CIRRUS, CLOUDS, DECIDUOUS, FRAMED, GRASS, MOUNTAIN, OVAL_FRAME, RIVER, TREE, TREES",1987-09-16
Evening At Sunset,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CABIN, CIRRUS, CLOUDS, CONIFER, DECIDUOUS, RIVER, ROCKS, STRUCTURE, TREE, TREES",1987-09-23
Mountain View,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, DECIDUOUS, GRASS, MOUNTAIN, MOUNTAINS, RIVER, ROCKS, TREE, TREES",1987-09-30
Hidden Creek,"Black_Gesso, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre","DECIDUOUS, GRASS, RIVER, TREE, TREES",1987-10-07
Peaceful Haven,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CONIFER, CUMULUS, PATH, RIVER, TREE, TREES",1987-10-14
Mountain Exhibition,"Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CONIFER, CUMULUS, GRASS, MOUNTAIN, MOUNTAINS, RIVER, SNOWY_MOUNTAIN, TREE, TREES",1987-10-21
Emerald Waters,"Black_Gesso, Cadmium_Yellow, Dark_Sienna, Midnight_Black, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre","BUSHES, DECIDUOUS, LAKE, TREE, TREES",1987-10-28
Mountain Summit,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, CONIFER, CUMULUS, DECIDUOUS, MOUNTAIN, RIVER, SNOWY_MOUNTAIN, TREE, TREES",1987-11-04
Cabin Hideaway,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Midnight_Black, Phthalo_Blue, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CABIN, CONIFER, DECIDUOUS, LAKE, MOUNTAIN, MOUNTAINS, SNOW, STRUCTURE, TREE, TREES, WINTER",1987-11-11
Oval Essence,"Cadmium_Yellow, Dark_Sienna, Midnight_Black, Phthalo_Blue, Phthalo_Green, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","CLOUDS, CONIFER, FRAMED, NIGHT, OCEAN, OVAL_FRAME, ROCKS, TREE, TREES, WAVES",1987-11-18
Lost Lake,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, GRASS, LAKE, MOUNTAIN, MOUNTAINS, PATH, SNOWY_MOUNTAIN, TREE, TREES",1987-11-25
Distant Mountains,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, CONIFER, CUMULUS, LAKE, MOUNTAIN, MOUNTAINS, PATH, SNOWY_MOUNTAIN, TREE, TREES",1987-12-30
Meadow Brook Surprise,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, GRASS, RIVER, TREE, TREES",1988-01-06
Mountain Moonlight Oval,"Black_Gesso, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, DECIDUOUS, FRAMED, GRASS, MOUNTAIN, MOUNTAINS, NIGHT, OVAL_FRAME, TREE, TREES",1988-01-13
